CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CREDIT_LIMIT,PAYMENTS
C10001,40.900749,0.818182,95.4,95.4,0,0.166667,0.083333,0,1000,201.802084
C10002,3202.467416,0.909091,0,0,6442.945483,0,0,0.25,7000,4103.032597
C10003,2495.148862,1,773.17,0,0,1,0,0,7500,622.066742
C10004,1666.670542,0.636364,1499,0,205.788017,0.083333,0,0.083333,7500,0
C10005,817.714335,1,16,0,0,0.083333,0,0,1200,678.334763
C10006,1809.828751,1,1333.28,1333.28,0,0.666667,0.583333,0,1800,1400.05777
C10007,627.260806,1,7091.01,688.38,0,1,1,0,13500,6354.314328
C10008,1823.652743,1,436.2,436.2,0,1,1,0,2300,679.065082
C10009,1014.926473,1,861.49,200,0,0.333333,0.25,0,7000,688.278568
C10010,152.225975,0.545455,1281.6,0,0,0.166667,0,0,11000,1164.770591
C10011,1293.124939,1,920.12,920.12,0,1,1,0,1200,1083.301007
C10012,630.794744,0.818182,1492.18,0,0,0.25,0,0,2000,705.618627
C10013,1516.92862,1,3217.99,717.76,0,1,0.916667,0,3000,608.263689
C10014,921.693369,1,2137.93,1717.97,0,0.75,0.75,0,7500,1655.891435
C10015,2772.772734,1,0,0,346.81139,0,0,0.083333,3000,805.647974
C10016,6886.213231,1,1611.7,1611.7,2301.491267,0.5,0.5,0.166667,8000,1993.439277
C10017,2072.074354,0.875,0,0,2784.274703,0,0,0.25,3000,391.974562
C10018,41.089489,0.454545,519,519,0,0.416667,0.333333,0,2500,254.590662
C10019,1989.072228,1,504.35,338.35,0,0.666667,0.583333,0,13000,1720.837373
C10020,3577.970933,1,398.64,398.64,0,1,1,0,4000,1053.980464
C10021,2016.684686,1,176.68,176.68,0,0.666667,0.666667,0,2000,223.0686
C10022,6369.531318,1,6359.95,449.91,229.028245,1,1,0.333333,11250,2077.959051
C10023,132.34224,0.636364,815.9,815.9,0,1,1,0,1800,2359.629958
C10024,3800.151377,0.818182,4248.35,793.79,7974.415626,1,0.916667,0.333333,9000,9479.043842
